subjectid,responseid,block,trial,stimulus,colormap,colorCategorization,vis,centerPerturb,noisePerturb,noisePerturbCount,noiseAmplitude,correct,modelChoice,selectedCanvas,responseTime,generationTime
1557,63726,2,2,14,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,124770,566
1557,63727,2,3,15,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,27196,492
1557,63728,2,4,16,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,42264,474
1557,63729,2,5,17,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,5,27278,489
1557,63730,2,6,18,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,5834,523
1557,63731,2,7,19,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,18309,478
1557,63732,2,8,20,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,12447,520
1557,63733,2,9,21,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,5986,472
1557,63734,2,10,22,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,6,30946,490
1557,63735,2,11,23,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,3,22054,522
1557,63736,2,12,24,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,31997,500
1557,63737,3,1,25,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,5,18548,502
1557,63738,3,2,26,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,11827,470
1557,63739,3,3,27,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,1,26164,542
1557,63740,3,4,28,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,2,1,10266,488
1557,63741,3,5,29,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,5930,516
1557,63742,3,6,30,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,11044,530
1557,63743,3,7,31,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,5,10188,499
1557,63744,3,8,32,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,9739,498
1557,63745,3,9,33,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,5631,477
1557,63746,3,10,34,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,6950,496
1557,63747,3,11,35,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,3,14123,465
1557,63748,3,12,36,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,20712,502
1557,63713,1,1,1,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,4,31237,1101
1557,63714,1,2,2,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,19603,590
1557,63715,1,3,3,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,5,85615,492
1557,63716,1,4,4,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,11404,527
1557,63717,1,5,5,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,4,4912,482
1557,63718,1,6,6,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,3,33794,511
1557,63719,1,7,7,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,3,32799,498
1557,63720,1,8,8,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,33518,468
1557,63721,1,9,9,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,6,11889,489
1557,63722,1,10,10,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,5,49829,496
1557,63723,1,11,11,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,18205,493
1557,63724,1,12,12,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,2,1,5800,537
1558,63113,2,1,13,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,5,9880,372
1558,63114,2,2,14,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,6539,347
1558,63115,2,3,15,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,3359,356
1558,63116,2,4,16,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,1,10091,354
1558,63117,2,5,17,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,5988,373
1558,63118,2,6,18,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,6,3923,395
1558,63119,2,7,19,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,1,2432,381
1558,63120,2,8,20,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,4396,355
1558,63121,2,9,21,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,7455,357
