participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp,correct,reactionTime,ciede2000_discriminative,contrast_sensitivity,hue_discriminative,luminance_variation,chromatic_variation,LAB_Length,color_name_variation,categorization,log_categorization,logLAB_Length,log_hue_discriminative,log_luminance_variation,log_chromatic_variation,log_color_name_variation
6992cbc78e1063a80a315c40,25,medium,0.982,0.9817067949743865,0.203125,1,13,100,linear,thermal,0,0,1,4430,2026-02-22T07:08:55.595Z,1,4430,23.223091351102646,136.37086027448385,110.7844659517889,115.01362985266535,72.43338617775635,162.0032974605182,2.5135765520232574,90.21979990928637,4.513271977785055,5.093770430421272,4.7084888119734565,4.753707682933803,4.296378684764391,0.9256771619922172
6992cbc78e1063a80a315c40,32,medium,0.982,0.9817539060774663,0.25,1,29,200,linear,thermal,1,1,1,6001,2026-02-22T07:09:01.605Z,1,6001,34.74760811980196,188.65443904199046,203.01722575293925,143.07013019902715,82.14913709363398,263.1834582941921,4.646281805533995,164.0491186293232,5.106243118262667,5.576643779583788,5.313783279135265,4.970300196293575,4.42063582787774,1.5382172338411138
6992cbc78e1063a80a315c40,3,low,0.954,0.9530712269735697,0.84375,1,8,100,constant,diverging,1,1,1,16048,2026-02-22T07:09:17.679Z,1,16048,23.62762988920177,187.3316219194171,269.495350319676,139.6530668170946,54.49138923848814,142.07418352544263,2.0866755976306424,89.14394936962226,4.50140783003271,4.963363261659576,5.596922132300689,4.946296339298892,4.016227859859491,0.7403530416364276
6992cbc78e1063a80a315c40,10,low,0.954,0.9531455395174536,6.09375,1,27,200,thermal,diverging,0,0,1,4323,2026-02-22T07:09:22.029Z,1,4323,35.90157232786049,184.755030287204,201.96771045700197,99.61735703854978,218.05670834158,288.2422119584433,3.775115509612621,157.89414953810356,5.068238254350715,5.667264440762101,5.308602841516329,4.611324777957608,5.389330638495752,1.3310764041549632
6992cbc78e1063a80a315c40,26,medium,0.982,0.982561068229114,0.21875,1,32,300,constant,constant,1,1,1,2640,2026-02-22T07:09:24.695Z,1,2640,26.62940405233536,89.58371603260767,299.8352510747976,24.30943155035257,52.10905259922612,154.1715046020102,3.2301956833225236,138.47258547515827,4.937868062057517,5.044530986523282,5.703566621610934,3.2311771148165715,3.9723473958121263,1.1756337240676664
6992cbc78e1063a80a315c40,8,low,0.954,0.9544583513558268,0.9375,1,46,300,diverging,thermal,2,2,1,11014,2026-02-22T07:09:35.732Z,1,11014,37.433087649314515,206.05734887554235,302.1391529934475,155.46899707770027,119.52935732174274,322.32539305618525,4.589677579303656,199.02605384845702,5.298447627306021,5.778659224969587,5.711218601318911,5.052857888615532,4.79189335248401,1.5259862095828014
6992cbc78e1063a80a315c40,38,high,0.956,0.9565244241810391,6.75,1,23,200,thermal,linear,3,3,1,5481,2026-02-22T07:09:41.239Z,1,5481,29.910164683641945,118.03976999041497,203.58733767897365,27.136322393645926,186.73429819435495,238.4197463968924,3.6323275690621273,126.19191059400984,4.845697052924671,5.478218272583219,5.316586159685397,3.337061353509714,5.235027655692106,1.2926229193427277
6992cbc78e1063a80a315c40,6,low,0.954,0.9539085995437974,0.298828125,1,19,200,thermal,constant,0,0,1,10499,2026-02-22T07:09:51.766Z,1,10499,30.947616693157077,123.83804483599641,202.31423158889248,24.486078900038535,218.43471994800797,271.2373869265834,4.341072919586758,145.5850732092197,4.987605964413303,5.606674431728217,5.310316249115755,3.238132377604119,5.391054784856125,1.4704224628687947
6992cbc78e1063a80a315c40,33,high,0.956,0.9554005654819554,1.25,1,43,300,thermal,diverging,0,0,1,6064,2026-02-22T07:09:57.854Z,1,6064,36.39532825812249,185.04861278828125,300.8696077078248,85.55160635081367,202.41652205628563,317.0854537328089,3.7212532748650764,139.95826302905454,4.9484638396733445,5.762320069110988,5.707009288580605,4.4607408412514165,5.3152557096974675,1.3167441758441725
6992cbc78e1063a80a315c40,22,medium,0.982,0.9814191414861086,0.40625,1,38,300,diverging,linear,0,0,1,6154,2026-02-22T07:10:04.030Z,1,6154,38.70242322962777,185.79386115733928,300.3174226083436,52.54835530720002,128.85482182232064,301.1629633967739,3.321691950707361,243.60403904503056,5.499640735974588,5.710966485732247,5.705172916238597,3.9805850832045437,4.8664170712069215,1.2034802682621688
